"id","user_id","task_id","finished","time_spent","update_time","grade","feedback"
"146","4803","103","1","NULL","2018-10-26 20:03:37","50",""
"147","4811","103","1","NULL","2018-10-26 20:03:42","50",""
"148","4807","103","1","NULL","2018-10-26 20:10:19","50",""
"149","4827","103","1","NULL","2018-10-26 20:14:35","50",""
"150","4821","103","1","NULL","2018-10-26 20:32:52","40","21 53 and 80 are not open correctly"
"151","4819","103","1","NULL","2018-10-26 20:38:10","50",""
"152","4791","103","1","NULL","2018-10-26 20:38:48","50",""
"153","4823","103","1","NULL","2018-10-26 20:55:17","50",""
"154","4815","103","1","NULL","2018-10-26 21:25:22","40","port 21 53 and 80 are not open correctly"
"155","4789","103","1","NULL","2018-10-26 21:56:24","50",""
"156","18","103","1","NULL","2018-10-26 22:16:37","50",""
"157","4788","103","1","NULL","2018-10-26 22:18:10","40","No port open"
"158","4798","103","1","NULL","2018-10-26 22:27:16","50",""
"159","3856","103","1","NULL","2018-10-26 22:31:10","50",""
"160","4824","103","1","NULL","2018-10-26 22:35:04","48","port 21 not open correctly"
"161","4817","103","1","NULL","2018-10-26 22:44:21","40","No port open in your result."
"162","4825","103","1","NULL","2018-10-26 23:03:10","42","port 21 22 and 43 not open correctly"
"163","4835","103","1","NULL","2018-10-26 23:10:40","25","....No scan result at all"
"164","4816","103","1","NULL","2018-10-26 23:14:49","50",""
"165","4787","103","1","NULL","2018-10-26 23:31:54","50",""
"166","4809","103","1","NULL","2018-10-26 23:32:08","42","Port 21 22 53 not open correctly"
"167","4818","103","1","NULL","2018-10-26 23:36:25","40","port 21 53 and 80 not open correctly"
"168","4762","103","1","NULL","2018-10-26 23:39:24","48","udp port  53 not open correctly"
"169","4790","103","1","NULL","2018-10-26 23:40:16","40","What ports are open? missing from you result."
"170","4764","103","1","NULL","2018-10-26 23:40:23","50",""
"171","4812","103","1","NULL","2018-10-26 23:40:44","45","why you only scan port 10 to 22? 53 and 80 both need to be check, we asked for 10-40000"
"172","4800","103","1","NULL","2018-10-26 23:42:59","40","No ports open in your result, seems you don't have access to 172.16.0.9. are you using the right IP?"
"173","4801","103","1","NULL","2018-10-26 23:46:10","40","No port open in your result"
"174","4828","103","1","NULL","2018-10-26 23:52:48","40","No ports open in your result"
"175","4832","103","1","NULL","2018-10-26 23:55:11","50",""
"176","4802","103","1","NULL","2018-10-26 23:55:12","50",""
"177","4783","103","1","NULL","2018-10-26 23:56:46","40","No ports open in your result."
"178","4799","102","1","NULL","2018-10-31 14:11:08","50",""
"179","4799","101","1","NULL","2018-10-31 14:11:19","50",""
"180","4796","102","1","NULL","2018-10-31 14:16:23","50",""
"181","4796","101","1","NULL","2018-10-31 14:16:23","50",""
"182","4814","103","1","NULL","2018-10-31 14:18:52","50",""
"183","4788","102","1","NULL","2018-10-31 14:23:37","20","You need to add Forward and PRERouting  rules to make it work."
"184","4837","102","1","NULL","2018-10-31 14:28:03","50",""
"185","4816","102","1","NULL","2018-10-31 14:30:38","45","You should be more specific on your rules. (to specify ports  21,22,53,80 and block all other ports )"
"187","4805","100","1","NULL","2018-11-02 19:35:32","0","NULL"
"188","4833","100","1","NULL","2018-11-03 16:21:37","0","NULL"
"189","4826","100","1","NULL","2018-11-05 09:00:22","0","NULL"
"190","18","100","1","NULL","2018-11-05 09:08:51","0","NULL"
"191","18","104","0","NULL","2018-11-05 09:16:06","0","NULL"
"192","4826","104","1","NULL","2018-11-05 09:56:10","60","bonus 5"
"193","4695","100","1","NULL","2018-11-06 15:58:03","0","NULL"
"194","4774","100","1","NULL","2018-11-06 16:59:00","0","NULL"
"195","4774","104","1","NULL","2018-11-06 16:59:08","55","bonus 3, missing screenshots that prove the access control works"
"196","4262","100","1","NULL","2018-11-06 17:45:06","0","NULL"
"197","4811","101","1","NULL","2018-11-06 18:11:30","45","Missing nslookup result of 1.2c"
"198","4843","103","1","NULL","2018-11-06 18:14:03","50",""
"199","4832","100","1","NULL","2018-11-07 13:17:59","0","NULL"
"200","4836","100","1","NULL","2018-11-07 13:42:25","0","NULL"
"201","4763","100","1","NULL","2018-11-07 14:15:24","0","NULL"
"202","4763","104","1","NULL","2018-11-07 14:15:44","60","5 bonus points"
"203","4836","104","1","NULL","2018-11-07 14:35:07","60","5 bonus"
"204","4814","100","1","NULL","2018-11-07 14:46:44","0","NULL"
"205","4814","104","1","NULL","2018-11-07 14:47:47","60",""
"206","4832","104","1","NULL","2018-11-07 15:23:50","60",""
"207","4806","100","1","NULL","2018-11-07 15:36:10","0","NULL"
"208","4806","104","1","NULL","2018-11-07 15:37:27","60",""
"209","4829","100","1","NULL","2018-11-08 13:53:19","0","NULL"
"210","4829","104","1","NULL","2018-11-08 13:53:49","50",""
"211","4324","100","1","NULL","2018-11-08 14:18:00","0","NULL"
"212","4805","104","1","NULL","2018-11-08 17:24:08","50",""
"213","2964","100","1","NULL","2018-11-08 18:05:25","0","NULL"
"214","2964","104","1","NULL","2018-11-08 18:05:45","50",""
"215","4801","100","1","NULL","2018-11-08 20:41:47","0","NULL"
"216","4781","100","1","NULL","2018-11-08 21:45:18","0","NULL"
"217","4837","100","1","NULL","2018-11-08 22:04:54","0","NULL"
"218","4837","104","1","NULL","2018-11-08 22:06:14","60",""
"219","4804","100","1","NULL","2018-11-08 22:12:15","0","NULL"
"220","4796","100","1","NULL","2018-11-08 22:22:57","0","NULL"
"221","4796","104","1","NULL","2018-11-08 22:23:17","60",""
"222","4781","104","1","NULL","2018-11-08 22:41:33","60",""
"223","4783","100","1","NULL","2018-11-08 23:21:04","0","NULL"
"224","4783","104","1","NULL","2018-11-08 23:21:14","50",""
"225","4801","104","1","NULL","2018-11-08 23:26:05","50",""
"226","4844","100","1","NULL","2018-11-09 02:48:58","0","NULL"
"227","4808","100","1","NULL","2018-11-09 06:15:16","0","NULL"
"228","4821","100","1","NULL","2018-11-09 10:32:00","0","NULL"
"229","4780","100","1","NULL","2018-11-09 11:55:28","0","NULL"
"230","4804","100","1","NULL","2018-11-09 11:55:36","0","NULL"
"231","4845","100","1","NULL","2018-11-09 12:00:50","0","NULL"
"232","4818","100","1","NULL","2018-11-09 12:26:31","0","NULL"
"233","3856","100","1","NULL","2018-11-09 13:08:59","0","NULL"
"234","4802","100","1","NULL","2018-11-09 13:25:12","0","NULL"
"235","4793","100","1","NULL","2018-11-09 13:44:34","0","NULL"
"236","4815","100","1","NULL","2018-11-09 13:46:14","0","NULL"
"237","4804","104","1","NULL","2018-11-09 13:47:21","50",""
"238","4807","100","1","NULL","2018-11-09 13:53:14","0","NULL"
"239","4807","104","1","NULL","2018-11-09 13:53:53","50",""
"240","4833","104","1","NULL","2018-11-09 14:34:26","60",""
"241","4798","100","1","NULL","2018-11-09 14:42:58","0","NULL"
"242","4798","104","1","NULL","2018-11-09 14:46:45","60",""
"243","4839","100","1","NULL","2018-11-09 14:56:34","0","NULL"
"244","4839","104","1","NULL","2018-11-09 14:56:39","50",""
"245","4794","100","1","NULL","2018-11-09 15:05:38","0","NULL"
"246","4794","104","1","NULL","2018-11-09 15:06:15","60",""
"247","4803","100","1","NULL","2018-11-09 15:13:25","0","NULL"
"248","4803","104","1","NULL","2018-11-09 15:13:28","60",""
"249","4842","100","1","NULL","2018-11-09 15:14:53","0","NULL"
"250","4784","100","1","NULL","2018-11-09 15:22:00","0","NULL"
"251","4785","100","1","NULL","2018-11-09 15:22:31","0","NULL"
"252","4784","104","1","NULL","2018-11-09 15:23:42","50",""
"253","4785","104","1","NULL","2018-11-09 15:24:05","50",""
"254","4799","100","1","NULL","2018-11-09 15:25:30","0","NULL"
"255","4799","104","1","NULL","2018-11-09 15:26:00","50",""
"256","4695","104","1","NULL","2018-11-09 15:33:46","60",""
"257","4815","104","1","NULL","2018-11-09 16:01:41","50",""
"258","4791","100","1","NULL","2018-11-09 16:19:08","0","NULL"
"259","4791","104","1","NULL","2018-11-09 16:19:12","50",""
"260","4822","100","1","NULL","2018-11-09 16:21:00","0","NULL"
"261","4822","104","1","NULL","2018-11-09 16:21:44","50",""
"262","4797","100","1","NULL","2018-11-09 16:33:22","0","NULL"
"263","4797","104","1","NULL","2018-11-09 16:34:08","50",""
"264","4811","100","1","NULL","2018-11-09 17:02:44","0","NULL"
"265","4811","104","1","NULL","2018-11-09 17:03:29","50",""
"266","4788","100","1","NULL","2018-11-09 17:09:21","0","NULL"
"267","4788","104","1","NULL","2018-11-09 17:09:31","55","Bonus task not finished."
"268","4830","100","1","NULL","2018-11-09 17:45:33","0","NULL"
"269","4830","104","1","NULL","2018-11-09 17:45:58","50",""
"270","4782","100","1","NULL","2018-11-09 18:51:27","0","NULL"
"271","4782","104","1","NULL","2018-11-09 18:51:33","50",""
"272","4827","100","1","NULL","2018-11-09 18:54:19","0","NULL"
"273","4827","104","1","NULL","2018-11-09 18:54:26","60",""
"274","4825","100","1","NULL","2018-11-09 18:54:35","0","NULL"
"275","4825","104","1","NULL","2018-11-09 18:54:39","50",""
"276","4823","100","1","NULL","2018-11-09 18:56:56","0","NULL"
"277","4823","104","1","NULL","2018-11-09 18:57:38","50",""
"278","3856","104","1","NULL","2018-11-09 18:59:04","60",""
"279","4793","104","1","NULL","2018-11-09 19:06:48","50",""
"280","4792","100","1","NULL","2018-11-09 19:27:23","0","NULL"
"281","4792","104","1","NULL","2018-11-09 19:31:38","50",""
"282","4824","100","1","NULL","2018-11-09 19:40:57","0","NULL"
"283","4824","104","1","NULL","2018-11-09 19:41:04","50",""
"284","4786","100","1","NULL","2018-11-09 19:59:10","0","NULL"
"285","4786","104","1","NULL","2018-11-09 19:59:19","50",""
"286","4262","104","1","NULL","2018-11-09 20:07:09","60",""
"287","4800","100","1","NULL","2018-11-09 20:55:53","0","NULL"
"288","4800","104","1","NULL","2018-11-09 20:56:04","55","Bonus task missing screenshot that show the access control works"
"289","4843","100","1","NULL","2018-11-09 21:28:04","0","NULL"
"290","4843","104","1","NULL","2018-11-09 21:28:14","50",""
"291","4764","100","1","NULL","2018-11-09 21:43:25","0","NULL"
"292","4764","104","1","NULL","2018-11-09 21:43:35","60",""
"293","4762","100","1","NULL","2018-11-09 21:48:50","0","NULL"
"294","4809","100","1","NULL","2018-11-09 21:53:26","0","NULL"
"295","4809","104","1","NULL","2018-11-09 21:53:30","50",""
"296","4842","104","1","NULL","2018-11-09 22:03:16","50",""
"297","4762","104","1","NULL","2018-11-09 22:23:21","60",""
"298","4789","100","1","NULL","2018-11-09 22:46:25","0","NULL"
"299","4789","104","1","NULL","2018-11-09 22:46:31","60",""
"300","4812","100","1","NULL","2018-11-09 22:47:41","0","NULL"
"301","4812","104","1","NULL","2018-11-09 22:47:52","60",""
"302","4812","102","1","NULL","2018-11-09 22:58:07","40","FTP not working,"
"303","4762","101","1","NULL","2018-11-09 22:59:42","50",""
"304","4762","102","1","NULL","2018-11-09 22:59:42","20","The main goal of this project is task 2.2, which you missed. "
"305","4818","104","1","NULL","2018-11-09 23:03:33","50",""
"306","4819","100","1","NULL","2018-11-09 23:04:30","0","NULL"
"307","4819","104","1","NULL","2018-11-09 23:07:00","60",""
"308","4787","100","1","NULL","2018-11-09 23:21:17","0","NULL"
"309","4787","104","1","NULL","2018-11-09 23:23:01","50",""
"310","4790","100","1","NULL","2018-11-09 23:44:12","0","NULL"
"311","4790","104","1","NULL","2018-11-09 23:44:42","50",""
"312","4817","100","1","NULL","2018-11-09 23:59:06","0","NULL"
"313","4817","104","1","NULL","2018-11-09 23:59:09","50",""
"314","4816","100","1","NULL","2018-11-10 00:11:32","0","NULL"
"315","4835","104","1","NULL","2018-11-10 14:54:39","25","didn't finish ssl part."
"316","4826","105","1","NULL","2018-11-11 21:17:52","50",""
"317","4808","104","1","NULL","2018-11-12 20:05:37","60",""
"318","4844","104","1","NULL","2018-11-12 20:06:49","50",""
"319","4836","105","1","NULL","2018-11-14 19:25:49","50",""
"320","4805","105","1","NULL","2018-11-14 20:31:36","60",""
"321","4788","105","1","NULL","2018-11-15 00:01:34","50",""
"322","4783","105","1","NULL","2018-11-15 02:07:40","50",""
"323","4814","105","1","NULL","2018-11-15 10:59:32","50",""
"324","4763","105","1","NULL","2018-11-15 12:02:06","50",""
"325","2964","105","1","NULL","2018-11-15 14:21:40","50",""
"326","4819","105","1","NULL","2018-11-15 23:55:57","50",""
"327","4781","105","1","NULL","2018-11-15 23:58:10","50",""
"328","4816","104","1","NULL","2018-11-16 03:38:04","50",""
"329","4822","105","1","NULL","2018-11-16 14:15:10","50",""
"330","4844","105","1","NULL","2018-11-16 14:35:36","50",""
"331","4842","105","1","NULL","2018-11-16 14:48:34","50",""
"332","4262","105","1","NULL","2018-11-16 15:04:45","60",""
"333","4789","105","1","NULL","2018-11-16 15:09:34","50",""
"334","4799","105","1","NULL","2018-11-16 16:11:14","50",""
"335","4821","105","1","NULL","2018-11-16 16:22:00","50",""
"336","4797","105","1","NULL","2018-11-16 16:26:21","50",""
"337","4829","105","1","NULL","2018-11-16 16:40:29","50",""
"338","4845","105","1","NULL","2018-11-16 16:58:52","50",""
"339","4839","105","1","NULL","2018-11-16 17:01:42","40","Missing screenshots that prove your snort rule is working,"
"340","4837","105","1","NULL","2018-11-16 17:33:34","60",""
"341","4800","105","1","NULL","2018-11-16 17:45:40","50",""
"342","4791","105","1","NULL","2018-11-16 17:56:52","50",""
"343","4807","105","1","NULL","2018-11-16 18:21:36","50",""
"344","4823","105","1","NULL","2018-11-16 20:00:44","50",""
"345","4774","105","1","NULL","2018-11-16 20:11:24","50",""
"346","4808","105","1","NULL","2018-11-16 20:20:24","52",""
"347","4804","105","1","NULL","2018-11-16 20:22:28","52",""
"348","4798","105","1","NULL","2018-11-16 20:37:13","50",""
"349","4794","105","1","NULL","2018-11-16 20:50:56","60",""
"350","4812","105","1","NULL","2018-11-16 21:21:00","50",""
"351","4830","105","1","NULL","2018-11-16 21:31:01","50",""
"352","4827","105","1","NULL","2018-11-16 21:36:49","60",""
"353","4833","105","1","NULL","2018-11-16 21:57:22","55","Half bonus points"
"354","4762","105","1","NULL","2018-11-16 22:12:17","50",""
"355","4803","105","1","NULL","2018-11-16 22:21:54","60",""
"356","4815","105","1","NULL","2018-11-16 22:54:33","50",""
"357","3856","105","1","NULL","2018-11-16 22:57:52","60",""
"358","4787","105","1","NULL","2018-11-16 23:03:03","50",""
"359","4818","105","1","NULL","2018-11-16 23:07:57","45","Missing log file screenshot"
"360","4792","105","1","NULL","2018-11-16 23:09:56","50",""
"361","4782","105","1","NULL","2018-11-16 23:19:16","50",""
"362","4785","105","1","NULL","2018-11-16 23:19:36","50",""
"363","4832","105","1","NULL","2018-11-16 23:22:09","60",""
"364","4784","105","1","NULL","2018-11-16 23:23:35","50",""
"365","4790","105","1","NULL","2018-11-16 23:30:49","50",""
"366","4780","105","1","NULL","2018-11-16 23:36:11","50",""
"367","4806","105","1","NULL","2018-11-16 23:37:55","50",""
"368","4843","105","1","NULL","2018-11-16 23:38:10","50",""
"369","4793","105","1","NULL","2018-11-16 23:39:53","50",""
"370","4811","105","1","NULL","2018-11-16 23:44:13","30","No icmp rules and alerts."
"371","4809","105","1","NULL","2018-11-16 23:52:25","50",""
"372","4816","105","1","NULL","2018-11-16 23:52:31","50",""
"373","4825","105","1","NULL","2018-11-16 23:56:21","50",""
"374","4824","105","1","NULL","2018-11-16 23:56:29","50",""
"375","4802","105","1","NULL","2018-11-16 23:57:50","50",""
"376","4801","105","1","NULL","2018-11-16 23:58:48","55",""
"377","4819","102","1","NULL","2018-11-27 15:40:32","40","late submission"
"378","4774","111","1","NULL","2018-11-27 16:02:46","60",""
"379","4826","111","1","NULL","2018-11-27 16:13:43","60",""
"380","4791","111","1","NULL","2018-11-27 21:39:28","60",""
"381","4780","104","1","NULL","2018-11-27 23:20:55","60",""
"382","4783","111","1","NULL","2018-11-28 13:21:38","60",""
"383","2964","111","1","NULL","2018-11-28 13:23:01","60",""
"384","4792","111","1","NULL","2018-11-28 13:42:16","60",""
"385","4789","111","1","NULL","2018-11-28 14:28:04","60",""
"386","4806","101","1","NULL","2018-11-28 14:49:45","40","Missing screenshot that prove bind DNS is working(nslookup)"
"387","4806","102","1","NULL","2018-11-28 14:49:45","30","Tasks not finished."
"388","4806","103","1","NULL","2018-11-28 14:49:45","0","NULL"
"389","4836","111","1","NULL","2018-11-28 15:38:29","60",""
"390","4798","111","1","NULL","2018-11-28 16:49:08","60",""
"391","4822","111","1","NULL","2018-11-28 17:25:29","60",""
"392","4801","111","1","NULL","2018-11-28 22:18:28","60",""
"393","4844","111","1","NULL","2018-11-29 02:23:16","60",""
"394","4830","111","1","NULL","2018-11-29 12:34:21","60",""
"395","4800","111","1","NULL","2018-11-29 13:15:08","60",""
"396","4829","111","1","NULL","2018-11-29 16:13:42","60",""
"397","4832","111","1","NULL","2018-11-29 16:59:40","60",""
"398","4804","111","1","NULL","2018-11-29 17:21:17","60",""
"399","4837","111","1","NULL","2018-11-29 17:40:58","60",""
"400","4784","111","1","NULL","2018-11-29 18:46:56","59",""
"403","4836","110","1","NULL","2018-11-30 11:31:21","0","NULL"
