"id","model_id","model_type","collection_name","name","file_name","mime_type","disk","size","manipulations","custom_properties","order_column","created_at","updated_at"
"99","2496","App\\UserSubtaskSubmission","submissions","nmapScan","nmapScan.bash","text/x-shellscript","ceph-submission","11895","[]","[]","97","2018-10-27 01:05:43","2018-10-27 01:05:43"
"100","2497","App\\UserSubtaskSubmission","submissions","README","README.txt","text/plain","ceph-submission","2394","[]","[]","98","2018-10-27 01:06:25","2018-10-27 01:06:25"
"101","2500","App\\UserSubtaskSubmission","submissions","arch","arch.png","image/png","ceph-submission","87513","[]","[]","99","2018-10-27 01:33:31","2018-10-27 01:33:31"
"102","2537","App\\UserSubtaskSubmission","submissions","ScriptForTask2","ScriptForTask2.sh","text/x-shellscript","ceph-submission","1433","[]","[]","100","2018-10-27 02:32:27","2018-10-27 02:32:27"
"103","2538","App\\UserSubtaskSubmission","submissions","readme","readme.txt","text/plain","ceph-submission","70","[]","[]","101","2018-10-27 02:32:37","2018-10-27 02:32:37"
"104","2544","App\\UserSubtaskSubmission","submissions","task_3_test","task_3_test.sh","text/x-shellscript","ceph-submission","2016","[]","[]","102","2018-10-27 02:45:26","2018-10-27 02:45:26"
"105","2545","App\\UserSubtaskSubmission","submissions","README","README.txt","text/plain","ceph-submission","367","[]","[]","103","2018-10-27 02:45:39","2018-10-27 02:45:39"
"106","2547","App\\UserSubtaskSubmission","submissions","task3","task3.sh","text/x-shellscript","ceph-submission","413","[]","[]","104","2018-10-27 02:47:33","2018-10-27 02:47:33"
"107","2549","App\\UserSubtaskSubmission","submissions","readme","readme.txt","text/plain","ceph-submission","103","[]","[]","105","2018-10-27 02:48:00","2018-10-27 02:48:00"
"108","2556","App\\UserSubtaskSubmission","submissions","pen_test","pen_test.sh","text/x-shellscript","ceph-submission","1347","[]","[]","106","2018-10-27 02:56:34","2018-10-27 02:56:34"
"109","2557","App\\UserSubtaskSubmission","submissions","script1.sh","script1.sh.txt","text/x-shellscript","ceph-submission","1149","[]","[]","107","2018-10-27 02:57:08","2018-10-27 02:57:08"
